Day,Hour_0,Hour_1,Hour_2,Hour_3,Hour_4,Hour_5,Hour_6,Hour_7,Hour_8,Hour_9,Hour_10,Hour_11,Hour_12,Hour_13,Hour_14,Hour_15,Hour_16,Hour_17,Hour_18,Hour_19,Hour_20,Hour_21,Hour_22,Hour_23
120,-1.68,-1.4,-1.97,-1.68,-1.31,-1.1,-8.57,-7.92,-7.23,-8.13,-5.44,-4.19,-5.33,-5.19,-4.32,-4.09,-7.68,-8.67,-7.92,-7.07,-0.69,0,0,0
121,-1.95,-1.98,-1.25,-1.95,-1.27,-1.23,-6.71,-8.71,-8.14,-7.94,-4.82,-4.02,-5.44,-4.94,-5.06,-4.23,-7.7,-8.88,-8.9,-6.73,0,0,0,0
122,-1.16,-1.06,-1.1,-1.16,-1.52,-1.23,-8.66,-7.21,-8.37,-8.05,-5.75,-5.75,-4.09,-4.4,-5.71,-4.11,-6.55,-8.7,-8.76,-7.72,0,0,0,0
123,-1.42,-1.44,-1.62,-1.42,-1.18,-1.14,-8.31,-6.64,-7.28,-8.61,-4.71,-4.08,-4.4,-4.76,-5.3,-4.29,-8.64,-6.38,-7.36,-7.58,-1.74,-1.84,-1.16,-0.02
124,-1.82,-1.03,-1.87,-1.82,-1.71,-1.52,-8.49,-6.75,-6.6,-8.47,-5.22,-4.37,-4.05,-5.84,-4.82,-5.2,-6.51,-7.36,-8.21,-7.53,-1.48,-1.05,0,0
125,-1.22,-1.11,-1.31,-1.22,-1.59,-1.67,-6.94,-8.43,-8.33,-6.46,-5.83,-5.3,-4.74,-5.73,-5.53,-4.92,-8.7,-6.09,-6.38,-7.33,-1.98,-0.31,0,0
126,-1.29,-1.03,-1.52,-1.29,-1.11,-1.71,-6.39,-7.7,-6.4,-8.68,-4.91,-4.71,-4.29,-4.13,-5.75,-5.03,-7.27,-8.98,-7.15,-8.94,-1.86,-1.05,0,0
127,-1.17,-1.72,-1.69,-1.17,-1.77,-1.84,-7.19,-7.89,-8.54,-7.03,-5.15,-5.58,-4.78,-5.89,-4.98,-5.47,-8.28,-7.37,-8.24,-5.32,0,0,0,0
128,-1.27,-1.37,-1.73,-1.27,-1.35,-1.22,-6.33,-6.15,-7.11,-8.86,-4.63,-5.59,-4.45,-5.35,-4.27,-4.76,-7.87,-7.08,-6.89,-8.94,-1.33,-2,-1.32,-0.03
129,-1.1,-1.31,-1.06,-1.1,-1.97,-1.45,-6.09,-8.4,-8.74,-7.92,-4.91,-5.42,-4.56,-4.84,-4.25,-5.19,-8.4,-7.63,-8.36,-7.03,-1.27,0,0,0
130,-1.7,-1.11,-1.04,-1.7,-1.39,-1.59,-8.2,-7.61,-7.98,-7.55,-5.73,-5.75,-5.55,-4.71,-4.53,-4.35,-8.24,-6.6,-7.23,-7.24,-1.31,-0.49,0,0
131,-1.02,-1.11,-2,-1.02,-1.78,-1.62,-8.73,-6.09,-7,-6.1,-4.38,-5.86,-5.45,-5.67,-4.54,-4.96,-6.13,-8.29,-6.41,-6.7,-1.58,-1.38,-2,-1.1
132,-1.49,-1.21,-1.57,-1.49,-1.62,-1.61,-7.85,-7.71,-8.86,-7.21,-4.96,-5.33,-5.89,-4.09,-5.63,-4.83,-8.27,-8.05,-6.21,-7.51,0,0,0,0
133,-1,-1,-1.52,-1,-1.04,-1.74,-7.8,-7.62,-7.01,-8.22,-5.51,-5.02,-4.2,-4.65,-5.58,-4.54,-7.71,-8.35,-8.22,-8.33,-0.84,0,0,0
134,-1.75,-1.73,-1.08,-1.75,-1.53,-1.79,-6.83,-6.65,-6.57,-7.55,-4.62,-5.9,-5.85,-4.65,-5.61,-5.87,-7.11,-8.09,-8.54,-6.44,-1.63,-0.11,0,0
135,-1.21,-2,-1.69,-1.21,-1.83,-1.09,-6.74,-6.96,-8.73,-8.3,-5.92,-4.24,-4.97,-5.34,-5.22,-5.4,-7.14,-8.34,-7.45,-7,-0.33,0,0,0
136,-1.89,-1.55,-1.4,-1.89,-1.16,-1.76,-7.34,-8.55,-8.16,-8.1,-4.72,-5.5,-4.88,-4.13,-5.74,-5.46,-7.12,-7.03,-6.13,-6.81,-1.48,-0.99,0,0
137,-1.17,-1.17,-1.48,-1.17,-1.6,-1.75,-6.65,-7.06,-7.3,-8.66,-4.33,-5.23,-4.82,-5.6,-4.22,-4.17,-6.53,-6.52,-6.47,-7.68,-1.33,-1.31,-1.01,-1.69
138,-1.52,-1.76,-1.44,-1.52,-1.32,-1.95,-8.82,-6.12,-8.63,-8.2,-5.53,-4.23,-5.21,-4.62,-5.03,-5.13,-8.64,-6.01,-8.45,-6.39,-0.9,0,0,0
139,-1.71,-1.06,-1.6,-1.71,-1.26,-1.08,-6.03,-8.52,-6.19,-6.61,-5.72,-5.06,-4.02,-5.61,-5.86,-4.07,-6.24,-7.56,-8.91,-6.32,-1,-1.03,-1.12,-1.57
140,-1.73,-1.22,-1.58,-1.73,-1.92,-1.89,-6.44,-7.43,-6.09,-8.31,-4.43,-5.24,-5.25,-4.99,-4.51,-5.39,-7.95,-6.95,-7.35,-6.32,-1.44,-1.04,-1.22,-1.21
141,-1.78,-1.71,-1.4,-1.78,-1.35,-1.14,-8.78,-7.63,-8.18,-7.79,-5.76,-4.22,-5.99,-4.48,-4.81,-5.85,-6.22,-8.33,-6.69,-6.75,-1.04,0,0,0
142,-1.38,-1.56,-1.58,-1.38,-1.98,-1.87,-6.29,-8.69,-6.91,-6.53,-5.32,-5.03,-4.92,-4.75,-4.08,-4.79,-7.19,-6.68,-7.55,-8.96,-1.78,-1.33,-0.73,0
143,-1.94,-1.75,-1.94,-1.94,-2,-1.3,-8.76,-7.53,-7.99,-6.46,-4.67,-5.39,-4.84,-5.56,-4.69,-5.28,-6.27,-7.1,-8.04,-8.39,0,0,0,0
144,-1.53,-1.35,-1.71,-1.53,-1.69,-1.09,-6.62,-8.91,-7.88,-6.12,-4.36,-4.07,-4.93,-4.68,-4.12,-4.08,-8.61,-7.79,-6.04,-8.21,-1.7,-1.57,-1.01,-1.29
145,-1.98,-1.29,-1.59,-1.98,-1.42,-1.66,-7.25,-7.56,-6.4,-7.66,-5.24,-6,-4.68,-5.65,-4.47,-4.64,-6.93,-8.92,-8.42,-7.43,-0.71,0,0,0
146,-1.61,-1.47,-1.41,-1.61,-1.29,-1.45,-6.18,-8.3,-6.82,-6.85,-4.92,-4.34,-4.5,-5.96,-5.84,-5.99,-7.99,-7.88,-8.16,-7.23,-1.71,0,0,0
147,-1.76,-1.36,-1.05,-1.76,-1.35,-1.83,-8.17,-8.79,-7.68,-7.54,-4.32,-5.37,-4.09,-5.79,-5.95,-4.93,-6.77,-7.09,-8.38,-7.68,0,0,0,0
148,-1.86,-1.74,-1.08,-1.86,-1.99,-1.58,-6.2,-6.9,-7.34,-7.53,-5.69,-4.27,-5.11,-5.92,-4.93,-5.76,-8.94,-8.16,-8.22,-6.68,0,0,0,0
149,-1.18,-1.91,-1.53,-1.18,-1.56,-1.4,-8.1,-6.39,-8.6,-7.01,-4.21,-4.56,-4.57,-4.61,-4.18,-5.81,-7.64,-7.45,-7.42,-8.59,-1.51,-1.16,-0.51,0
150,-1.17,-1.16,-1.71,-1.17,-1.5,-1.38,-6.93,-7.39,-7.55,-7.01,-4.07,-5.83,-5.21,-4.61,-5.81,-5.3,-8.71,-7.47,-8.78,-7.56,-0.75,0,0,0
151,-1.68,-1.34,-1.56,-1.68,-1.17,-1.91,-7.82,-8.98,-7.83,-7.29,-5.29,-4.05,-4.51,-4.63,-5.52,-4.79,-7.4,-7.47,-7.83,-6.37,-1.63,-0.83,0,0
152,-1.91,-1.15,-1.59,-1.91,-1.01,-1.14,-7.35,-6.05,-8.12,-7.48,-4.99,-5.59,-5.04,-5.67,-4.46,-4.68,-6.91,-8.51,-7.63,-7.63,-1.02,-1.94,-0.03,0
153,-1.4,-1.56,-1.1,-1.4,-1.9,-1.99,-7.57,-6.8,-7.81,-7.8,-5.95,-5.54,-4.13,-4.35,-5.88,-4.51,-7.4,-8.64,-7.98,-6.24,-1.35,0,0,0
154,-1.5,-1.97,-1.75,-1.5,-1.11,-1.53,-6.02,-7.17,-6.79,-7.21,-5.48,-5.46,-5.24,-5.61,-5.69,-4.13,-7.87,-8.47,-7.96,-6.64,-1.84,-0.46,0,0
155,-1.53,-1.65,-1.36,-1.53,-1.32,-1.69,-7.91,-7.74,-7.95,-7.04,-4.38,-5.68,-5.48,-4.87,-5.4,-4.42,-8.23,-7.74,-6.72,-8.79,0,0,0,0
156,-1.07,-1.03,-1.91,-1.07,-1.45,-1.96,-6.88,-7.58,-6.45,-7.84,-4.33,-4.6,-5.99,-4.6,-5.13,-4.21,-8.19,-8.93,-8.56,-6.65,-1.86,-0.68,0,0
157,-1.72,-1.05,-1.42,-1.72,-1.02,-1.68,-7.88,-8.45,-8.16,-7.26,-5.91,-4.16,-5.9,-5.81,-4.25,-5.24,-8.59,-7.23,-8.19,-5.98,0,0,0,0
158,-1.32,-1.64,-1.28,-1.32,-1.09,-1.13,-7.01,-7.48,-7.6,-8.18,-4.49,-4.61,-5.16,-4.38,-4.47,-4.2,-8.19,-8.44,-6.19,-7.78,-1.8,-1.39,-1.54,-0.53
159,-1.11,-1.09,-2,-1.11,-1.7,-1.84,-8.88,-7.01,-6.47,-8.86,-5.48,-4.85,-5.63,-5.62,-5.83,-5.15,-7.5,-8.87,-8.54,-3.47,0,0,0,0
160,-1.15,-1.1,-1.49,-1.15,-1.36,-1.94,-7.66,-7.46,-7.14,-6.7,-5.28,-4.27,-4.77,-5.07,-4.41,-5.48,-8.34,-6.17,-6.27,-7.76,-1.82,-1.27,-1.4,-1.4
161,-1.24,-1.39,-1.95,-1.24,-1.19,-1.99,-7.74,-7.07,-6.18,-8.6,-5.58,-4.24,-5.98,-4.49,-4.64,-5.87,-7.01,-8.58,-6.1,-8.68,-1.29,-0.09,0,0
162,-1.34,-1.28,-1.69,-1.34,-1.37,-1.7,-8.86,-6.29,-7.41,-6.21,-4.43,-4.68,-5.27,-4.09,-5.47,-4.58,-8.47,-6.3,-7.33,-7.42,-1.96,-1.8,-1.75,-0.2
163,-1.66,-1.23,-1.85,-1.66,-1.21,-1.72,-7.14,-6.92,-7.95,-6.75,-5.05,-5.34,-4.59,-4.27,-5.15,-5.03,-6.35,-6.04,-6.3,-6.31,-1.68,-1.18,-1.84,-1.5
164,-1.13,-1.98,-1.95,-1.13,-1,-1.51,-8.61,-6.86,-8.02,-8.86,-4.17,-5.26,-4.3,-5.78,-4.68,-4.31,-8.58,-6.73,-8.12,-7.81,-0.24,0,0,0
165,-1.73,-1.94,-1.87,-1.73,-1.25,-1.36,-7.43,-7.37,-7.57,-6.2,-4.18,-4.02,-5.13,-5.21,-4.96,-5.35,-6.34,-8.78,-6.09,-6.94,-1.28,-1.68,-1.41,-1.71
166,-1.1,-1.04,-1.15,-1.1,-1.59,-1.64,-7.25,-6.38,-8.01,-6.64,-5.6,-4.37,-5.26,-5.36,-4.59,-4.22,-6.67,-7.61,-7.22,-6.69,-1.67,-1.51,-1.2,-1.14
167,-1.92,-1.34,-1.65,-1.92,-1.9,-1.83,-6.92,-7.1,-8.62,-6.11,-4.9,-5.81,-5.11,-5.39,-5.16,-5.38,-7.78,-6.49,-7.68,-8.71,-0.1,0,0,0
168,-1.54,-1.69,-1.93,-1.54,-1.86,-1.12,-7.33,-8.61,-8.45,-8.66,-5.68,-5.16,-4.81,-5.75,-4.76,-5.71,-7.54,-6.38,-7.69,-5.23,0,0,0,0
169,-1.09,-1.94,-1.8,-1.09,-1.98,-1.24,-6.09,-7.19,-8.8,-7.04,-4.51,-5.27,-5.32,-4.51,-5.55,-4.03,-7.69,-8.24,-8.84,-8.53,-0.24,0,0,0
170,-1.38,-1.66,-1.55,-1.38,-1.57,-1.46,-7.64,-8.51,-7.38,-6.9,-5.87,-4.29,-4.97,-4.15,-4.05,-5.35,-6.67,-7.28,-6,-7.32,-1.97,-1.68,-1.08,-1.03
171,-1.53,-1.03,-1.29,-1.53,-1.13,-1.38,-6.88,-7.78,-8.34,-8.73,-5.31,-5.32,-5.09,-4.49,-5.05,-5.42,-7.66,-6.64,-6.64,-6.13,-1.1,-1.23,-1.73,0
172,-1.69,-1.93,-1.91,-1.69,-1.56,-1.4,-8.84,-7.14,-7.8,-7.42,-4.45,-5.13,-4.4,-5.64,-5.96,-5.91,-6.92,-8.56,-6.81,-6.43,0,0,0,0
173,-1,-1.18,-1.4,-1,-1.29,-1.59,-7.76,-6.84,-6.75,-8.94,-4.94,-5.22,-4.2,-5.38,-4.79,-4.29,-7.8,-8.73,-7.73,-8.47,-1.29,-0.31,0,0
174,-1.48,-1.59,-1.8,-1.48,-1.41,-1.83,-8.23,-8.61,-8.62,-6.72,-5.06,-5.56,-5.1,-5.76,-5.41,-4.13,-7.67,-6.83,-7.85,-6.24,0,0,0,0
175,-1.67,-1.69,-1.58,-1.67,-1.92,-1.63,-8.48,-8.41,-8.17,-9,-5.42,-5.96,-4.79,-4.84,-4.63,-5.73,-8.89,-8.22,-8.41,-0.46,0,0,0,0
176,-1.56,-1.87,-1.05,-1.56,-1.96,-1.2,-8.92,-6.33,-7.99,-8.69,-5.19,-5.39,-5.29,-4.93,-5.97,-5.44,-6.93,-7.56,-7.87,-5.76,0,0,0,0
177,-1.58,-1.29,-1.64,-1.58,-1.5,-1.18,-6.7,-7.55,-8.71,-6.9,-4.52,-4.01,-5.95,-4.1,-5.18,-4.27,-6.07,-7.57,-7.5,-7.16,-1.92,-1.21,-1.14,-1.65
178,-1.01,-1.25,-1.56,-1.01,-1.6,-1.75,-7.26,-6.87,-8.54,-6.45,-5.01,-5.33,-4.3,-5.96,-5.83,-5.96,-8.36,-6.95,-8.42,-6.56,-0.93,0,0,0
179,-1.54,-1.56,-1.83,-1.54,-1.25,-1.13,-6.75,-6.38,-8.41,-6.66,-4.6,-4.7,-4.94,-4.32,-5.34,-4.2,-6.32,-8.16,-8.21,-8.79,-1.76,-1.69,-1.03,-0.33
180,-1.66,-1.4,-1.5,-1.66,-1.04,-1.9,-6.65,-7.37,-8.63,-7.19,-5.42,-4.28,-4.32,-4.92,-4.64,-5.05,-6.38,-8.37,-6.36,-6.36,-1.54,-1.68,-1.21,-1.56
181,-1.94,-1.93,-1.48,-1.94,-1.67,-1.99,-6.95,-7.15,-8,-6.11,-5.62,-4.78,-4.33,-4.25,-5.21,-5.95,-6.23,-8.9,-7.19,-6.03,-1.24,-1.09,-1.86,0
182,-1.05,-1.41,-1.99,-1.05,-1.15,-1.61,-6.39,-7.95,-7.13,-7.08,-5.95,-4.13,-4.07,-4.74,-5.1,-5.77,-7.09,-6.74,-7.48,-8.06,-1.46,-1.97,-1.58,0
183,-1.57,-1.94,-1.28,-1.57,-1.45,-1.75,-7.65,-6.44,-6.53,-6.06,-4.03,-4.78,-4.76,-4.79,-5.41,-4.23,-8.51,-6.08,-6.56,-6.39,-1.86,-1.9,-1.89,-1.63
184,-1.3,-1.85,-1.37,-1.3,-1.3,-1.37,-8.45,-6.1,-6.28,-8.66,-4.32,-5.71,-4.14,-5.09,-5.63,-5.37,-6.84,-6.54,-7.88,-6.08,-1.57,-1.29,-1.89,-0.87
185,-1.28,-1.19,-1.75,-1.28,-1.73,-1.65,-8.47,-7.32,-8.32,-6.56,-5.44,-5.8,-4.44,-5.56,-4.53,-5.28,-8.43,-8.98,-6.57,-6.34,-0.26,0,0,0
186,-1.8,-1.47,-1.44,-1.8,-1.44,-1.46,-6.99,-7.83,-6.52,-8.49,-5.87,-5.49,-5.22,-4.09,-5.92,-4.28,-6.01,-8.69,-7.57,-8.53,-0.79,0,0,0
187,-1.52,-1.46,-1.53,-1.52,-1.08,-1.23,-7.83,-8.93,-6.61,-8.95,-5.82,-5.87,-5.33,-4.97,-5.16,-4.84,-7.62,-6.73,-7.86,-6.56,0,0,0,0
188,-1.92,-1.69,-1.46,-1.92,-1.13,-1.23,-8.42,-7.14,-6.72,-6.05,-4.28,-5.57,-4.71,-5.5,-4.14,-4.08,-8.76,-7.74,-6.5,-6.63,-1.62,-1.42,-1.27,-1.12
189,-1.68,-1.65,-1.47,-1.68,-1.89,-1.71,-6.87,-6.7,-7.99,-6.77,-4.12,-5.53,-5.86,-4.71,-4.95,-4.33,-8.76,-7.94,-8.42,-8.29,-0.26,0,0,0
190,-1.82,-1.16,-1.23,-1.82,-1.85,-1.87,-7.17,-8.67,-7.81,-7.49,-4.71,-4.51,-4.54,-5.33,-5.64,-5.16,-6.63,-8.96,-6.46,-7.39,-1.4,-0.1,0,0
191,-1.43,-1.54,-2,-1.43,-1.93,-1.54,-6.06,-7.03,-8.5,-8.79,-5.66,-4.68,-5.6,-4.18,-5.51,-4.17,-7.44,-7.8,-7.67,-7.25,-1.12,0,0,0
192,-1.03,-1.9,-1.13,-1.03,-1.51,-1.14,-6.48,-6.62,-6.29,-8.13,-4.76,-4.77,-4.33,-5.64,-5.03,-5.19,-7.23,-8.36,-6.42,-8.13,-1.53,-1.05,-1.16,-1.89
193,-1.19,-1.39,-1.44,-1.19,-1.38,-1.83,-6.85,-7.71,-6.29,-7.09,-5.67,-4.17,-4.37,-4.37,-5.03,-5.87,-8.92,-8.27,-7.68,-8.4,-1.66,-0.32,0,0
194,-1.03,-1.35,-1.27,-1.03,-1.9,-1.94,-7.3,-6.45,-7.61,-8.98,-5.08,-4.61,-5.5,-5.52,-5.72,-4.8,-6.4,-8.58,-8.13,-7.73,0,0,0,0
195,-1.8,-1.1,-1.63,-1.8,-1.71,-1,-7.87,-7.84,-6.94,-8.77,-5.39,-4.37,-4.59,-4.42,-4.38,-5.75,-6.23,-6.57,-7.84,-7.33,-1.98,-1.71,-0.68,0
196,-1.68,-1.39,-1.77,-1.68,-1.36,-1.89,-7.92,-7.78,-6.59,-7.43,-5.14,-4.63,-5.77,-5.46,-5.59,-5.79,-8.59,-6.37,-7.83,-6.92,0,0,0,0
197,-1.72,-1.85,-1.67,-1.72,-1.51,-1.54,-6.7,-7.3,-7.85,-6.79,-5.47,-4.45,-5.24,-4.38,-5.95,-4.36,-8.1,-8.2,-6.82,-7.16,-1.03,-1.81,0,0
198,-1.32,-1.16,-1.16,-1.32,-1.79,-1.67,-7.59,-6.11,-7.42,-7.24,-4.5,-4.54,-5.61,-5.86,-4.77,-4.8,-6.45,-6.66,-8.2,-8.34,-1.76,-1.9,-1.05,0
199,-1.7,-1.97,-1.42,-1.7,-1.5,-1.92,-7.82,-8.31,-8.85,-7.44,-4.95,-4.03,-5.77,-4.46,-5.05,-4.28,-6.05,-8.18,-9,-7.2,0,0,0,0
200,-1.78,-1.38,-1,-1.78,-1.85,-1.84,-7.39,-8.61,-8.28,-7.1,-4.84,-5.88,-4.66,-4.22,-4.12,-5.05,-7.34,-8.83,-8.49,-7.24,0,0,0,0
201,-1.41,-1.54,-1.8,-1.41,-1.42,-1.54,-7.41,-6.9,-8.72,-7.22,-5.78,-5.31,-4.83,-4.02,-4.95,-4.58,-6.49,-6.39,-8.14,-8.52,-1.8,-1.13,0,0
202,-1.31,-1.7,-1.88,-1.31,-1.3,-1.43,-8.72,-8.71,-8.7,-6.96,-5.28,-4.78,-4.03,-4.5,-4.76,-5.07,-8.9,-7.5,-7.22,-7.15,0,0,0,0
203,-1.46,-1.78,-1.88,-1.46,-1.82,-1.91,-6.24,-6.4,-8.34,-7.08,-4.75,-5.33,-5.26,-4.62,-5.34,-4.55,-8.47,-8.47,-8.54,-7.14,-0.52,0,0,0
204,-1.07,-1.93,-1.4,-1.07,-1.28,-1.43,-6.05,-7.08,-7.59,-6.76,-4.03,-5.19,-4.42,-4.97,-4.84,-5.72,-8.68,-8.56,-6.92,-7.49,-1.1,-1.84,-1.55,0
205,-1.15,-1.89,-1.15,-1.15,-1.7,-1.18,-6.16,-7.99,-6.66,-6.39,-4.13,-5.73,-5.53,-5.75,-4.78,-5.05,-8.62,-7.55,-7.3,-6.59,-1.11,-1.84,-1.28,-0.37
206,-1.79,-1.46,-1.19,-1.79,-1.14,-1.25,-8.44,-6.18,-8.88,-8.57,-4.44,-4.81,-5.34,-4.98,-4.32,-5.37,-8.12,-7.98,-8.72,-6.19,-0.73,0,0,0
207,-1.77,-1.63,-1.14,-1.77,-1.88,-1,-8.46,-7.21,-7.13,-6.33,-5.09,-4.43,-4.38,-4.47,-4.85,-4.77,-8.93,-7.38,-7.86,-6.6,-1.11,-1.17,-1.95,-0.36
208,-1.31,-1.37,-1.62,-1.31,-1.5,-1.68,-8.59,-8.39,-7.65,-8.94,-5.54,-5.75,-5.82,-5.98,-4.31,-4.87,-8.31,-8.34,-8.66,-1.27,0,0,0,0
209,-1.72,-1.51,-1.04,-1.72,-1.11,-1.85,-6.13,-6.75,-6.82,-7.06,-4.61,-4.61,-4.65,-4.27,-5.29,-4.13,-7.3,-8.33,-7.77,-6.16,-1.02,-1.89,-1.94,-1.94
210,-1.9,-1.27,-1.09,-1.9,-1.72,-1.72,-8.88,-8.36,-8.66,-8.54,-5.82,-5.36,-5.29,-4.6,-5.83,-5.57,-8.37,-7.65,-8.8,-0.47,0,0,0,0
211,-1.94,-1.53,-1.04,-1.94,-1.75,-1.15,-7.07,-8.2,-7.46,-6.48,-5.65,-4.08,-5.59,-4.08,-5.61,-5.95,-8.35,-6.85,-7.15,-7.69,-1.93,-0.35,0,0
212,-1.88,-1.47,-1.68,-1.88,-1.41,-1.23,-6.01,-7.73,-7.23,-8.25,-4.8,-5.12,-4.69,-5.81,-5.04,-5.8,-7.44,-6.01,-7.61,-6.62,-1.89,-1.92,-0.26,0
213,-1.48,-1.42,-1.8,-1.48,-1.9,-1.2,-8.53,-6.62,-7.06,-7.84,-4.57,-4.76,-4.77,-5.88,-4.74,-5.17,-7.34,-8.62,-7,-8.87,-0.33,0,0,0
214,-1.85,-1.59,-1.43,-1.85,-1.31,-1.93,-7.39,-6.33,-8.48,-6.45,-5.49,-4.64,-4.32,-5.24,-4.46,-5.86,-7.18,-7.51,-8.85,-7.01,-1.76,-0.82,0,0
215,-1.82,-1.15,-1,-1.82,-1.74,-1.58,-6.18,-6.11,-7.67,-7.75,-5.45,-5.29,-5.15,-4.15,-5.75,-5.57,-7.67,-7.42,-8.64,-7.35,-1.81,-0.65,0,0
216,-1.21,-1.74,-1.23,-1.21,-1.66,-1.32,-6.34,-7.11,-8.97,-8.58,-5.39,-4.73,-4.53,-5.89,-4.58,-5.16,-8.99,-8.36,-7.59,-6.52,0,0,0,0
217,-1.94,-1.28,-1.61,-1.94,-1.27,-1.4,-8.53,-8.71,-6.28,-8.45,-5.23,-4.75,-5.57,-5.55,-4.94,-4.88,-7.78,-8.16,-7.44,-6.13,0,0,0,0
218,-1.33,-1.88,-1.79,-1.33,-1.45,-1.72,-7.47,-7.25,-7.8,-8.5,-5.97,-5.64,-4.5,-5.93,-4.35,-5.75,-7.41,-6.52,-7.31,-7.33,0,0,0,0
219,-1.78,-1.17,-1.6,-1.78,-1.33,-1.84,-6.06,-7.19,-6.05,-7.44,-4.68,-5.67,-4.3,-4.09,-5.93,-4.13,-6.51,-8.63,-8.3,-7.84,-1.38,-1.04,-1.3,-1.38
220,-1.85,-1.85,-1.16,-1.85,-1.3,-1.28,-8.98,-7.33,-8.68,-8.09,-4.88,-4.11,-5.52,-4.72,-4.4,-4.17,-6.85,-6.99,-8.68,-7.57,-1.08,-0.41,0,0
221,-1.04,-1.09,-1.45,-1.04,-1.37,-1.37,-8.43,-6.69,-6.21,-7.84,-5.98,-4.88,-4.98,-5.79,-4.25,-4.47,-8.41,-6.6,-8.41,-6.5,-1.99,-1.28,-0.87,0
222,-1.58,-1.96,-1.79,-1.58,-1.96,-1.19,-8.92,-7.23,-7.64,-8.64,-4.85,-5.06,-4.08,-5.12,-4.62,-4.87,-6.8,-7.04,-7.83,-7.08,-1.49,-0.15,0,0
223,-1.04,-1.04,-1.02,-1.04,-1.6,-1.28,-8.83,-6.05,-6.43,-8.74,-4.18,-4.06,-4.03,-5.56,-4.98,-5.95,-6.14,-6.08,-8.38,-8.2,-1.74,-1.87,-1,-1.7
224,-1.48,-1.75,-1.25,-1.48,-1.85,-1.79,-8.49,-7.78,-6.4,-7.91,-5.3,-4.42,-4.78,-5.79,-4.86,-4.82,-8.52,-6.72,-7.86,-6.24,-1.54,-0.35,0,0
225,-1.23,-1.25,-1.63,-1.23,-1.23,-1.66,-6.1,-8.13,-7.23,-6.13,-5.22,-5.9,-4.73,-4.3,-5.78,-4.5,-7.11,-8.36,-8.26,-8.85,-1.31,-0.99,0,0
226,-1.41,-1.81,-1.72,-1.41,-1.54,-1.58,-8.35,-7.66,-7.67,-6.23,-4.69,-5.5,-5.02,-5.05,-4.58,-5.21,-7.83,-6.27,-6.22,-7.05,-1.96,-1.78,-0.77,0
227,-1.91,-1.84,-1.83,-1.91,-1.92,-1.29,-8.2,-7.99,-7.23,-7.06,-4.87,-5.96,-4.45,-4.43,-4.16,-5.46,-7.13,-8.55,-8.91,-6.71,0,0,0,0
228,-1.72,-1.25,-1.9,-1.72,-1.4,-1.44,-7.09,-8.62,-8.69,-8.4,-5.5,-4.3,-5.15,-4.51,-5.47,-4.5,-7.18,-7.44,-8.87,-6.47,0,0,0,0
229,-1.07,-1.88,-1.62,-1.07,-1.57,-1.74,-7.08,-6.03,-8.77,-6.16,-5.72,-4.05,-4.25,-5.64,-4.22,-5,-7.32,-6.97,-6.42,-6.78,-1.6,-1.35,-1.1,-1.33
230,-1.33,-1.75,-1.74,-1.33,-1.58,-1.55,-7.89,-8.97,-6.11,-6.9,-4.42,-5.21,-4.9,-4.37,-4.37,-4.94,-8.5,-6.86,-7.69,-7.01,-1.23,-1.08,-1.15,-0.35
231,-1.35,-1.44,-1.5,-1.35,-1.66,-1.38,-8.84,-7.19,-8,-8.05,-5.76,-4.99,-5.96,-5.42,-4.41,-4.65,-8.01,-7.81,-6.79,-6.69,0,0,0,0
232,-1.65,-1.16,-1.08,-1.65,-1,-1.91,-6.66,-7.95,-7.73,-8.43,-4.73,-4.07,-5.31,-5.36,-5.29,-4.43,-8.83,-6.77,-6.73,-7.94,-1.75,-1.12,0,0
233,-1,-1.73,-1.01,-1,-1.3,-1.42,-7.28,-6.86,-7.64,-8.97,-4.98,-4.2,-5.27,-5.29,-5.86,-4.82,-6.83,-6.21,-7.76,-8.29,-1.38,-1.11,-0.69,0
234,-1.38,-1.85,-1.67,-1.38,-1.38,-1.15,-7.3,-6.8,-6.49,-7.67,-5.34,-5.41,-4.56,-4.02,-4.17,-5.44,-8.63,-8.55,-7.51,-6.09,-1.68,-1.48,-1.18,-0.15
235,-1.86,-1.36,-1.12,-1.86,-1.42,-1.84,-7.42,-6.69,-8.1,-8.71,-5.95,-5.11,-5.16,-5.89,-4.68,-4.79,-7.71,-6.22,-6.6,-8.04,-1.23,0,0,0
236,-1.39,-1.23,-1.74,-1.39,-1.16,-1.04,-6.74,-8.37,-6.3,-6.18,-5.17,-5.19,-5.34,-4.23,-4.95,-4.08,-7,-6.22,-8.91,-7.7,-1.79,-1.02,-1.35,-1.82
237,-1.92,-1.18,-1.28,-1.92,-1.92,-1.34,-6.33,-7.65,-8.03,-6.86,-4.77,-4.93,-5.83,-5.9,-5.55,-4.36,-7.75,-7.09,-7.34,-7.85,-1.68,-0.34,0,0
238,-1.84,-1.45,-1.77,-1.84,-1.88,-1.87,-6.09,-6.96,-8.9,-8.64,-5.6,-5.08,-5.78,-5.77,-4.82,-4.2,-8.5,-6.49,-8.55,-5.71,0,0,0,0
239,-1.41,-1.12,-1.12,-1.41,-1.48,-1.73,-6.64,-8.04,-6.01,-8.17,-4.33,-5.82,-4.41,-4.2,-5.1,-4.52,-7.38,-8.34,-7.26,-8.57,-1.52,-1.65,-1.08,0
